id,symbol,name,asset_class,currency,isin
1,SAP.DE,SAP SE,EQUITY,EUR,DE0007164600
2,SIE.DE,Siemens AG,EQUITY,EUR,DE0007236101
3,DBKGn.DE,Deutsche Bank AG,EQUITY,EUR,DE0005140008
4,AAPL,Apple Inc,EQUITY,USD,US0378331005
5,MSFT,Microsoft Corp,EQUITY,USD,US5949181045
6,GOOGL,Alphabet Inc,EQUITY,USD,US02079K3059
7,HSBA.L,HSBC Holdings,EQUITY,GBP,GB0005405286
8,VOD.L,Vodafone Group,EQUITY,GBP,GB00BH4HKS39
9,T.TO,Telus Corp,EQUITY,CAD,CA87971M1032
10,BUND10Y,German 10Y Bund,FIXED_INCOME,EUR,DE0001102341
11,UST10Y,US 10Y Treasury,FIXED_INCOME,USD,US912828Z948
12,GILT10Y,UK 10Y Gilt,FIXED_INCOME,GBP,GB00BFWFPL34
13,EUR/USD,EUR/USD Spot,FX,USD,NULL
14,USD/JPY,USD/JPY Spot,FX,JPY,NULL
15,GBP/USD,GBP/USD Spot,FX,USD,NULL
16,AMZN,Amazon.com Inc,EQUITY,USD,US0231351067
17,NVDA,NVIDIA Corp,EQUITY,USD,US67066G1040
18,META,Meta Platforms Inc,EQUITY,USD,US30303M1027
19,TSLA,Tesla Inc,EQUITY,USD,US88160R1014
20,ORCL,Oracle Corp,EQUITY,USD,US68389X1054
21,IBM,International Business Machines,EQUITY,USD,US4592001014
22,INTC,Intel Corp,EQUITY,USD,US4581401001
23,CSCO,Cisco Systems Inc,EQUITY,USD,US17275R1023
24,ADBE,Adobe Inc,EQUITY,USD,US00724F1012
25,NFLX,Netflix Inc,EQUITY,USD,US64110L1061
26,TSM,Taiwan Semiconductor,EQUITY,TWD,US8740391003
27,ASML,ASML Holding NV,EQUITY,EUR,NL0010273215
28,SHEL,Shell plc,EQUITY,GBP,GB00BP6MXD84
29,BP.L,BP plc,EQUITY,GBP,GB0007980591
30,TTE,TotalEnergies SE,EQUITY,EUR,FR0000120271
31,AIR.PA,Airbus SE,EQUITY,EUR,NL0000235190
32,LVMH,LVMH Moët Hennessy Louis Vuitton,EQUITY,EUR,FR0000121014
33,SAN.PA,Sanofi SA,EQUITY,EUR,FR0000120578
34,NESN.SW,Nestlé SA,EQUITY,CHF,CH0038863350
35,ROG.SW,Roche Holding AG,EQUITY,CHF,CH0012032048
36,JGB10Y,Japan 10Y Government Bond,FIXED_INCOME,JPY,NULL
37,OAT10Y,French 10Y OAT,FIXED_INCOME,EUR,NULL
38,BTP10Y,Italy 10Y Government Bond,FIXED_INCOME,EUR,NULL
39,SPGB10Y,Spain 10Y Government Bond,FIXED_INCOME,EUR,NULL
40,CAN10Y,Canada 10Y Government Bond,FIXED_INCOME,CAD,NULL
41,AUD/USD,AUD/USD Spot,FX,USD,NULL
42,USD/CAD,USD/CAD Spot,FX,CAD,NULL
43,USD/CHF,USD/CHF Spot,FX,CHF,NULL
44,EUR/CHF,EUR/CHF Spot,FX,CHF,NULL
45,AUD/JPY,AUD/JPY Spot,FX,JPY,NULL
46,XAU/USD,Gold Spot,COMMODITY,USD,NULL
47,XAG/USD,Silver Spot,COMMODITY,USD,NULL
48,BRENT,Brent Crude Oil,COMMODITY,USD,NULL
49,WTI,WTI Crude Oil,COMMODITY,USD,NULL
50,NGAS,Natural Gas,COMMODITY,USD,NULL
